name,full_name,private,html_url,description,fork,created_at,updated_at,pushed_at,stargazers_count,watchers_count,language,forks_count,open_issues_count,default_branch
5th_Sem_Labs,precious-05/5th_Sem_Labs,False,https://github.com/precious-05/5th_Sem_Labs,,False,2025-09-14T11:40:57Z,2025-10-14T17:23:41Z,2025-10-14T17:23:36Z,0,0,HTML,0,0,main
data-structure,precious-05/data-structure,False,https://github.com/precious-05/data-structure,,False,2024-12-15T06:54:47Z,2024-12-15T06:54:51Z,2024-12-15T06:54:48Z,0,0,,0,0,main
farmingApp,precious-05/farmingApp,False,https://github.com/precious-05/farmingApp,,False,2025-07-15T08:27:48Z,2025-09-05T19:18:26Z,2025-09-05T19:18:22Z,0,0,Python,0,0,main
test,precious-05/test,False,https://github.com/precious-05/test,,False,2024-07-11T17:18:36Z,2024-07-11T17:18:36Z,2024-07-11T17:18:36Z,0,0,,0,0,main
