name,description
Beef,"Beef is the culinary name for meat from cattle, particularly skeletal muscle. Humans have been eatin..."
Chicken,"Chicken is a type of domesticated fowl, a subspecies of the red junglefowl. It is one of the most co..."
Dessert,"Dessert is a course that concludes a meal. The course usually consists of sweet foods, such as confe..."
Lamb,"Lamb, hogget, and mutton are the meat of domestic sheep (species Ovis aries) at different ages.

A..."
Miscellaneous,General foods that don't fit into another category...
